epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94543,2.43594,4.78015,2.64169,0.00354,0.75,0.13994,0.02504,1.80369,3.2028,2.0076,0,0,0
2,2.64611,2.11257,4.67907,2.77849,0.00417,0.83333,0.12171,0.02771,1.82192,3.20159,2.01989,1.6615e-05,1.6615e-05,1.6615e-05
3,3.28786,2.15757,4.39113,2.69403,0.00414,0.83333,0.16125,0.03119,1.82239,3.20033,2.02147,3.312e-05,3.312e-05,3.312e-05
4,3.90107,1.73922,4.03988,1.97333,0.00476,0.91667,0.16369,0.03122,1.83833,3.2024,2.03179,4.95149e-05,4.95149e-05,4.95149e-05
5,4.6142,2.26295,4.18066,2.49898,0.00406,0.83333,0.25711,0.0591,1.70899,3.17917,1.9174,6.57998e-05,6.57998e-05,6.57998e-05
6,5.66322,1.33082,3.33967,1.55527,0.00405,0.83333,0.25668,0.16152,1.54956,3.12381,1.81001,8.19747e-05,8.19747e-05,8.19747e-05
7,6.70798,1.92045,3.91141,2.21396,0.00458,0.91667,0.37225,0.20239,1.55225,3.12893,1.81201,9.80396e-05,9.80396e-05,9.80396e-05
8,7.66586,0.80008,4.58462,1.49465,0.00449,0.91667,0.37117,0.20258,1.54389,3.13155,1.80142,0.000113994,0.000113994,0.000113994
9,8.60418,2.0999,4.34925,2.22767,0.00443,0.91667,0.54358,0.33584,1.54642,3.15485,1.75869,0.000129839,0.000129839,0.000129839
10,9.53747,1.82081,4.45903,2.13139,0.00436,0.91667,0.56742,0.32366,1.52798,3.106,1.73034,0.000145574,0.000145574,0.000145574
11,10.395,1.71853,3.23874,1.9453,0.00433,0.91667,0.54208,0.29152,1.56451,3.11481,1.75952,0.000161199,0.000161199,0.000161199
12,11.2979,1.55197,3.19658,1.45618,0.00431,0.91667,0.48039,0.30906,1.70279,3.0247,1.79037,0.000176714,0.000176714,0.000176714
13,12.1957,1.88587,3.15782,1.86254,0.00479,1,0.52165,0.27164,1.8202,3.01163,1.84085,0.000192118,0.000192118,0.000192118
14,13.0229,1.52552,3.42226,1.73712,0.00478,1,0.48589,0.22237,1.82465,3.03453,1.87056,0.000207413,0.000207413,0.000207413
15,13.849,1.38836,2.99587,1.69136,0.00482,1,0.50983,0.29073,1.65012,2.93862,1.72837,0.000222598,0.000222598,0.000222598
16,14.7123,1.41526,4.63109,1.63995,0.00479,1,0.50847,0.33048,1.46979,2.86567,1.585,0.000237673,0.000237673,0.000237673
17,15.5994,1.4336,2.68614,1.60778,0.00475,1,0.50976,0.34369,1.46185,2.85069,1.60536,0.000252637,0.000252637,0.000252637
18,16.5231,1.35306,2.43427,1.45144,0.00475,1,0.50976,0.34369,1.46185,2.85069,1.60536,0.000267492,0.000267492,0.000267492
19,17.3556,1.49592,2.74015,1.7697,0.00472,1,0.47873,0.36232,1.52676,2.9066,1.78044,0.000282236,0.000282236,0.000282236
20,18.1746,1.22206,3.49008,1.67439,0.00472,1,0.47873,0.36232,1.52676,2.9066,1.78044,0.000296871,0.000296871,0.000296871
21,19.0471,1.20992,3.45087,1.70973,0.00471,1,0.50372,0.31097,1.50067,2.91422,1.86257,0.000311396,0.000311396,0.000311396
22,19.8437,0.89783,2.00573,1.12578,0.00471,1,0.50372,0.31097,1.50067,2.91422,1.86257,0.00032581,0.00032581,0.00032581
23,20.7558,1.08261,3.03597,1.41939,0.00471,1,0.21417,0.12314,1.52828,3.00434,1.98792,0.000340115,0.000340115,0.000340115
24,21.7331,1.50121,2.24199,1.25656,0.00471,1,0.21417,0.12314,1.52828,3.00434,1.98792,0.000354309,0.000354309,0.000354309
25,22.9736,0.94488,1.91527,1.22283,0.00472,1,0.21151,0.09418,1.55753,3.00474,2.01765,0.000368394,0.000368394,0.000368394
26,23.8451,0.75527,2.20852,1.16776,0.00472,1,0.21151,0.09418,1.55753,3.00474,2.01765,0.000382368,0.000382368,0.000382368
27,24.7951,1.02951,2.42056,1.20112,0.00473,1,0.30326,0.09152,1.51512,3.04772,1.9488,0.000396233,0.000396233,0.000396233
28,25.919,0.84281,1.18533,1.11101,0.00473,1,0.30326,0.09152,1.51512,3.04772,1.9488,0.000409987,0.000409987,0.000409987
29,26.8572,1.39383,2.8855,1.72234,0.00436,0.91667,0.21024,0.09289,1.6364,3.03812,2.0729,0.000423631,0.000423631,0.000423631
30,27.72,1.05484,3.13777,1.41546,0.00436,0.91667,0.21024,0.09289,1.6364,3.03812,2.0729,0.000437166,0.000437166,0.000437166
31,28.712,0.8929,2.39554,1.26645,0.00438,0.91667,0.29074,0.16137,1.58535,2.98815,1.98638,0.00045059,0.00045059,0.00045059
32,29.5937,1.26836,2.33715,1.22724,0.00438,0.91667,0.29074,0.16137,1.58535,2.98815,1.98638,0.000463904,0.000463904,0.000463904
33,30.5522,1.35609,1.84382,1.28841,0.00441,0.91667,0.0964,0.05089,1.45132,3.05903,1.96252,0.000477109,0.000477109,0.000477109
34,31.3553,1.07116,2.91306,1.26666,0.00441,0.91667,0.0964,0.05089,1.45132,3.05903,1.96252,0.000490203,0.000490203,0.000490203
35,32.2569,0.91285,2.30599,1.4034,0.00476,1,0.16486,0.10197,1.53918,3.04636,2.02236,0.000503187,0.000503187,0.000503187
36,33.0507,1.02754,2.05667,1.24485,0.00476,1,0.16486,0.10197,1.53918,3.04636,2.02236,0.000516062,0.000516062,0.000516062
37,34.0182,1.25139,1.52395,1.50294,0.00474,1,0.30099,0.21149,1.62426,2.93646,2.06484,0.000528826,0.000528826,0.000528826
